Cancer,Gene,Group,N_cases,Count_min,Count_Q1,Count_median,Count_Q3,Count_max,EnrlAge_coef,EnrlAge_se,EnrlAge_p,PrevalentCase_coef,PrevalentCase_se,PrevalentCase_p
colorectal,TET2,pLoF,8800,0,0,0,0,1,0.000297950184808116,9.84298929218555e-05,0.00247684749631887,0.000832724828583105,0.00133960872665205,0.534209224130749
colorectal,TET2,missense,8800,0,0,0,1,3,0.00134025761679735,0.00096042101626871,0.162903447720413,0.0119242710855873,0.0130711142363533,0.361656203433774
NHL,TET2,pLoF,2555,0,0,0,0,2,0.000197923112736529,0.00024634161385626,0.421789644894614,-0.00449358230936449,0.00351772578559891,0.201573311311278
NHL,TET2,missense,2555,0,0,0,1,3,0.000113787022421151,0.00166425008634125,0.945495385406752,0.0195582627906765,0.0237652719358405,0.410598191144971
leukemias,TET2,pLoF,1864,0,0,0,0,2,0.000726010887096868,0.000563688154582619,0.197918101849623,0.0165967287013877,0.00801325862663182,0.0384815285475705
leukemias,TET2,missense,1864,0,0,0,1,2,0.000466800667829356,0.00202360072652392,0.817590129751619,0.031625232656164,0.0287670334152809,0.27175467833487
oral,TET2,pLoF,1110,0,0,0,0,1,0.000234001598969326,0.000221998408130965,0.2920814173741,0.00148381914358785,0.00315491927576197,0.638219618931455
oral,TET2,missense,1110,0,0,0,1,3,0.000709283847121622,0.00247782335853339,0.774738074611615,-0.0256309306784964,0.0352134627522128,0.466845221669945
neck,TET2,pLoF,653,0,0,0,0,2,0.000591181262658114,0.00053412053614121,0.268776369185955,0.00959123715408463,0.0069196730071965,0.166197036341374
neck,TET2,missense,653,0,0,0,1,2,-0.00658826793525768,0.00374812519133643,0.07926068809718,0.0453063862699101,0.0485579545423563,0.351147121675448
anus,TET2,pLoF,343,0,0,0,0,0,0,0,,0,0,
anus,TET2,missense,343,0,0,0,1,2,-0.000612739279108273,0.0044005845378852,0.889342601048174,-0.0190555999595269,0.0651291416981877,0.770020312909539
bladder,TET2,pLoF,3285,0,0,0,0,1,9.38192753883172e-05,0.00013092104249536,0.473666010867005,0.00165596372811557,0.00157203694041446,0.292241072320342
bladder,TET2,missense,3285,0,0,0,1,2,0.000382610468362786,0.00178730297233595,0.830504668238713,0.00988105497086312,0.0214610748789619,0.645247060974956
brain,TET2,pLoF,948,0,0,0,0,1,0.000249946023520955,0.000197532049618601,0.206059887624578,0.00216720611288743,0.00358228223210573,0.545338080071978
brain,TET2,missense,948,0,0,0,1,3,-0.00116932968900862,0.00240458849648008,0.626873624100103,0.0408188869244695,0.0436076811995743,0.349487564942838
breast,TET2,pLoF,19950,0,0,0,0,1,0.000152374497466317,4.72600945397073e-05,0.00126542393553337,8.93586965109257e-05,0.000694930637075428,0.897686147531807
breast,TET2,missense,19950,0,0,0,1,4,0.000181830417077858,0.000571016827695756,0.750160088387214,0.00651094403087539,0.00839645141881806,0.43808891763785
bone,TET2,pLoF,128,0,0,0,0,0,0,0,,0,0,
bone,TET2,missense,128,0,0,0,1,2,0.00376360157818784,0.0071867303533574,0.60142307844926,0.126004772242149,0.117856029120871,0.287066169705565
prostate,TET2,pLoF,14732,0,0,0,0,2,0.000201238854874796,8.12853492914161e-05,0.0133083562019025,-0.00106224508992861,0.00101693065128703,0.296243513507584
prostate,TET2,missense,14732,0,0,0,1,3,-0.000741040521579149,0.000863980056927664,0.391069010258479,0.0169785049829673,0.0108089318634845,0.116254143210656
cervix,TET2,pLoF,6262,0,0,0,0,1,3.88815800058119e-06,5.47064638231823e-05,0.943341847435627,0.00341622878598541,0.00161777051191088,0.0347526275392704
cervix,TET2,missense,6262,0,0,0,1,3,-4.09356822792937e-05,0.00095705882631312,0.965884347019784,0.0170235031761052,0.0283019855272989,0.547532116164817
endometrium,TET2,pLoF,2315,0,0,0,0,1,0.000109099025535181,9.55909981956092e-05,0.253858863974619,-3.82037841826907e-05,0.00127461031245164,0.976091242621651
endometrium,TET2,missense,2315,0,0,0,1,3,-0.00175756623142278,0.00187165146956356,0.347805380927511,0.00225240266446011,0.0249565995695455,0.92809415529249
esophagus,TET2,pLoF,1280,0,0,0,0,1,7.40098107839994e-05,0.000257071750762689,0.773473415864279,0.00416248568607683,0.00369059051677691,0.259589048257883
esophagus,TET2,missense,1280,0,0,0,1,2,-0.000130306284765572,0.00269185496084708,0.961398958210399,-0.0395643595122229,0.0386449867072792,0.306128267619095
eye,TET2,pLoF,531,0,0,0,0,0,0,0,,0,0,
eye,TET2,missense,531,0,0,0,1,2,-0.00451312654622573,0.00419393010928032,0.282369899489705,-0.0751406244920667,0.0606663309917628,0.21604826575651
HL,TET2,pLoF,523,0,0,0,0,1,-1.79503815457441e-05,0.000411160925509606,0.965193936617123,0.0119621255667059,0.00765064176601014,0.11853271214415
HL,TET2,missense,523,0,0,0,1,2,-0.00420233905299484,0.00320130230362244,0.189864211301958,0.201629107712647,0.0595679588943481,0.000765942380714939
kidney,TET2,pLoF,2076,0,0,0,0,1,0.000145324651831022,0.000128153260850418,0.256929416644036,-0.00201501515366394,0.00177474207171749,0.256345382592725
kidney,TET2,missense,2076,0,0,0,1,2,0.00152750216386524,0.00201007490316529,0.447387020606902,0.0158317411895265,0.0278367048507238,0.569596797562799
liver,TET2,pLoF,716,0,0,0,0,0,0,0,,0,0,
liver,TET2,missense,716,0,0,0,1,2,-0.00143848168670705,0.00341167421789972,0.673418449876452,-0.0844709927154615,0.0592286676267218,0.154252851815224
lung,TET2,pLoF,4782,0,0,0,0,1,9.74296498695535e-05,0.000119260088602124,0.413997147591747,0.000497244961465445,0.00169272991133225,0.768959195053963
lung,TET2,missense,4782,0,0,0,1,2,-0.00163136449831745,0.00141379477327371,0.248602725381707,0.0332889826071687,0.020066836518877,0.0972004846419805
non_melanoma,TET2,pLoF,35991,0,0,0,0,2,5.80700213118437e-05,4.16218526735627e-05,0.162969850803647,-0.00120963983463131,0.000571452848688173,0.0342853855794438
non_melanoma,TET2,missense,35991,0,0,0,1,3,0.000228862272960005,0.000467839767117854,0.624710567440128,-0.00411749213014112,0.00642326927986373,0.521508910053157
melanoma,TET2,pLoF,6932,0,0,0,0,1,7.02048199699842e-05,5.8130961909192e-05,0.227203519251354,-0.00108057631242912,0.000869292845899393,0.213890688959395
melanoma,TET2,missense,6932,0,0,0,1,3,0.000179804984444282,0.000943785418082515,0.848911415880192,0.00247036982220412,0.0141134067811386,0.861055594700995
myeloma,TET2,pLoF,1168,0,0,0,0,1,0.000480788039754748,0.000331819067869957,0.147621658193079,-0.00460957560243535,0.00515002033669816,0.370940066300397
myeloma,TET2,missense,1168,0,0,0,1,2,0.00502062410905776,0.00258005543394715,0.0519025700091599,0.035916959198555,0.0400439252630408,0.369936763198859
ovary,TET2,pLoF,1706,0,0,0,0,1,-1.5476906078727e-05,7.67004507117993e-05,0.840109870095648,0.00107194717195195,0.00117760980740037,0.362807029404834
ovary,TET2,missense,1706,0,0,0,1,2,0.00139240565762514,0.00185875057158809,0.453895330696381,-0.0121882470211636,0.0285380709278733,0.669369747718148
pancreas,TET2,pLoF,1481,0,0,0,0,0,0,0,,0,0,
pancreas,TET2,missense,1481,0,0,0,1,2,0.000615485621091836,0.0024249871071097,0.799677763133509,-0.0034993053734262,0.0410857083932904,0.932137086941182
stomach,TET2,pLoF,921,0,0,0,0,1,-0.000147115724948739,0.000233753715660175,0.529268624860246,0.00276145561750201,0.00348503072115964,0.428346030834635
stomach,TET2,missense,921,0,0,0,1,2,0.00626778132178724,0.00298901438817132,0.0362720495072489,0.0912409317638659,0.0445631717097877,0.0408979454453613
testis,TET2,pLoF,746,0,0,0,0,1,-0.000152021247156085,0.00023320786532994,0.514686529761462,-0.00351559180186171,0.00586530939439863,0.549097383675527
testis,TET2,missense,746,0,0,0,1,2,0.00481546516825213,0.00256491910081491,0.0608502468397367,0.0393803343870783,0.0645091625730461,0.541743080362273
thyroid,TET2,pLoF,880,0,0,0,0,1,0.000277301471107472,0.000210215427337609,0.187469972477562,0.00543951308796895,0.00323858997973564,0.0933926978298678
thyroid,TET2,missense,880,0,0,0,1,2,0.00561856296317908,0.00255359830425833,0.0280490314564783,0.0401906678253585,0.0393408703879718,0.307251560295223
