Cancer,Gene,Group,N_cases,Count_min,Count_Q1,Count_median,Count_Q3,Count_max,EnrlAge_coef,EnrlAge_se,EnrlAge_p,PrevalentCase_coef,PrevalentCase_se,PrevalentCase_p
colorectal,ASXL1,pLoF,2937,0,0,0,0,1,0.000204413444878983,0.000118867743272945,0.0855976721855106,0.00219697444934281,0.00427457719195435,0.607316575746906
colorectal,ASXL1,missense,2937,0,0,0,0,2,4.90241670432029e-05,0.000302144419681526,0.871116941435609,0.0114788906885651,0.0108653500898162,0.29084160013279
NHL,ASXL1,pLoF,2513,0,0,0,0,1,0.000218375326452908,0.00010124091987038,0.0311013530728079,0.00225087089174694,0.00402343450704961,0.575911266105755
NHL,ASXL1,missense,2513,0,0,0,0,2,-0.000264764345736809,0.000299532490153213,0.376821196624348,0.00322424186949368,0.011903777231656,0.786521966026096
leukemias,ASXL1,pLoF,1893,0,0,0,0,1,0.000750899440771161,0.000200081952481691,0.000180034611345981,-0.0154147999048112,0.00836077859290972,0.0653827621465535
leukemias,ASXL1,missense,1893,0,0,0,0,2,-0.000181495334932656,0.000353458042843714,0.607672254595136,0.0077561357251802,0.014769870052972,0.599552822768523
oral,ASXL1,pLoF,1049,0,0,0,0,1,0.000583324682292507,0.000232012040364316,0.0120794653711561,-0.0126704433773281,0.00916155482468353,0.166959568673243
oral,ASXL1,missense,1049,0,0,0,0,2,8.24667546384365e-05,0.000564596770630326,0.883899718853269,-0.0239188137764157,0.0222944648038385,0.283581902669813
neck,ASXL1,pLoF,717,0,0,0,0,2,0.000793982588358904,0.000406246889806397,0.0510398937844168,0.00986003770122484,0.0124680032967892,0.429307361123041
neck,ASXL1,missense,717,0,0,0,0,2,-2.51921428501948e-05,0.000925820018750469,0.978299343373761,-0.0839922671654863,0.0284140687243546,0.00321917919453278
anus,ASXL1,pLoF,614,0,0,0,0,1,-1.92205362281295e-05,0.000192204314021991,0.920376694548999,0.00379856490261576,0.00674777885092967,0.573685240423324
anus,ASXL1,missense,614,0,0,0,0,2,-0.000728962948007586,0.000717431059846722,0.309996385746148,0.0102700848342445,0.0251870836368422,0.683598556485092
bladder,ASXL1,pLoF,1782,0,0,0,0,1,0.000779309428048715,0.000253906701729227,0.00217820989353409,0.00860857699796479,0.00782294287023039,0.271295027096141
bladder,ASXL1,missense,1782,0,0,0,0,1,0.000199246050150502,0.000431811832979765,0.644554655422348,0.0229667869727445,0.0133042541889761,0.0844717634485685
brain,ASXL1,pLoF,950,0,0,0,0,1,0.000212838006185648,0.000162862079051552,0.19157737202477,0.00700731537127305,0.00853053376582543,0.411602852857056
brain,ASXL1,missense,950,0,0,0,0,1,-0.000134106361581436,0.000391755893525527,0.732185115119699,-0.0505348256669556,0.0205197360683501,0.0139649291708336
breast,ASXL1,pLoF,10236,0,0,0,0,2,0.000305766821556047,6.74004677629923e-05,5.78279737503625e-06,0.00145087394049756,0.00242596195913638,0.549812273316198
breast,ASXL1,missense,10236,0,0,0,0,2,-8.94438981623822e-05,0.000182612468429077,0.624284724872672,-0.00608179129481873,0.00657281642659726,0.354834526549711
bone,ASXL1,pLoF,652,0,0,0,0,1,0.000438493156168131,0.000196887626747993,0.026281233383855,0.00561415841700695,0.0114815395794728,0.625026283029284
bone,ASXL1,missense,652,0,0,0,0,1,0.000965427063042793,0.000611992783217554,0.115164620106258,-0.0641290006113058,0.0356884761065143,0.0728146532638083
prostate,ASXL1,pLoF,6991,0,0,0,0,2,0.000565509539826339,0.000150920137665759,0.000180347819365428,0.00373607729364607,0.00349460242646821,0.285061817918485
prostate,ASXL1,missense,6991,0,0,0,0,2,-0.000231088824176615,0.000318737431782892,0.468468249015754,-0.0202939502399751,0.00738046373229261,0.00598059679359874
cervix,ASXL1,pLoF,2003,0,0,0,0,1,7.13536658450878e-05,7.18293155809047e-05,0.320645918235245,-0.00219048519758641,0.00288092357847324,0.447140219755524
