Gene	Group	Cancer	N_case_meta	N_ctrl_meta	N_total_meta	Carrier_log_OR	Carrier_log_OR_SE	Carrier_OR	Carrier_OR_CI_LB	Carrier_OR_CI_UP	Carrier_P	I2	Carrier_UKB_OR	Carrier_UKB_CI_LB	Carrier_UKB_CI_UP	Carrier_UKB_P	Carrier_AoU_OR	Carrier_AoU_CI_LB	Carrier_AoU_CI_UP	Carrier_AoU_P
FLG	pLoF	anus	957	565851	566808	-0.0438976575488609	0.1069726140132	0.95705189949841	0.776033081935958	1.18029547921915	0.681539308523869	80.1402583472569	0.666694088867624	0.456364540383779	0.973960439076283	0.0360471364865037	1.12241382270241	0.87267879101939	1.44361568352295	0.368464295387785
IFIH1	pLoF	anus	957	565851	566808	0.00764299933125989	0.167122769091905	1.00767228160457	0.726213224887926	1.39821665636959	0.963523186397954	0	0.807155874806399	0.426787718366059	1.52652144895062	0.509930951551648	1.09124949078141	0.744871930052808	1.59869825010892	0.654012361186834
MICA	pLoF	anus	957	565851	566808	-0.207548939689332	0.070949975483235	0.812573473706625	0.707082212438385	0.933803224797126	0.00344140253398552	79.2620688535931	0.648982087925918	0.508404515401527	0.82843038897097	0.000518214928171063	0.905226884300369	0.764325364620197	1.07210325600975	0.248729620693384
HLA-DPB1	pLoF	anus	957	565851	566808	0.160157286426461	0.0645009033361547	1.17369546283964	1.03431341445705	1.33186036286059	0.0130272336247715	0	1.23556940237894	1.00104472836743	1.52503849711568	0.048870111104604	1.14015767806617	0.973411124944966	1.3354681259953	0.10396817298488
CPVL	pLoF	anus	957	565851	566808	0.371877679462926	0.574214194323008	1.45045554993976	0.470687229966053	4.46968000917039	0.517225031630368	0	1.86130678792873	0.379603251996403	9.12653656302816	0.443745545297865	1.12908162646787	0.22948536094213	5.55514876414621	0.881284310058956
ATM	pLoF	anus	957	565851	566808	0.344633106290267	0.571114562623736	1.41147196447099	0.460827788046365	4.32320523667541	0.546216328106082	0	2.25526637000313	0.464167345273192	10.9577428301716	0.313286939663085	0.881024921977874	0.180515229778589	4.29994141822921	0.875553146040726
FAM111A	pLoF	anus	957	565851	566808	0.320409499337533	0.250888267074858	1.37769181272399	0.842549834070521	2.25272696533206	0.201566813384417	0	1.53366678215098	0.748852303617834	3.14098492761493	0.242305729168815	1.25245279053435	0.637202367168437	2.46175794902945	0.513835993465271
HAL	pLoF	anus	957	565851	566808	0.314456390057403	0.374733881595984	1.36951462679882	0.657041220710873	2.85457023683639	0.401387456972093	0	2.60679605703405	0.53910272792208	12.6049922046591	0.233428746150648	1.14553165936228	0.499445652556904	2.62739854853735	0.748367564308773
BRCA2	pLoF	anus	957	565851	566808	1.02685576572205	0.350594122436971	2.79227245894798	1.40453166479821	5.55116390780666	0.00340161840990104	19.9246437427672	4.33993037475754	1.54225741799727	12.212614728222	0.00542408179295541	1.97147817228244	0.7863316314874	4.94285874833	0.147785272580434
PALB2	pLoF	anus	957	565851	566808	1.49694826392385	0.498680989716716	4.46803298610083	1.68127340305576	11.8739276601898	0.00268374884429848	0	6.27534474654513	1.28110038607998	30.7391615176152	0.0234800027797771	3.6334153790532	1.05177890889849	12.5517893590073	0.0413724359619601
PRDM7	pLoF	anus	957	565851	566808	0.0627052968342927	0.37567530811604	1.06471301869444	0.509867303184089	2.22335067398535	0.867438076576477	69.7555558950503	3.91858369890047	0.802455679514754	19.1353847910627	0.0914188936037761	0.744223889014878	0.324077970406339	1.70906154554711	0.486146737919303
HOXB13	pLoF	anus	957	565851	566808	2.72922578525882	0.588883851919306	15.321020666897	4.83090897924971	48.5899600434909	3.57673283901594e-06	0	22.606621692471	4.43757522582221	115.166350617033	0.000174194576812766	10.3421582683217	2.01332198510462	53.1262452992366	0.00514047651900131
CHEK2	pLoF	anus	957	565851	566808	0.648998835673054	0.35352327490657	1.91362401755081	0.957055351311745	3.82627491244704	0.0663869034952351	0	2.41482870970668	0.959659963936351	6.07652493212731	0.0611362368038076	1.41671201276762	0.496209338720576	4.04481087013617	0.51518816892075
FLG	pLoF	bladder	5067	565851	570918	0.0515684719544737	0.0449470249038075	1.05292127940183	0.964132950842661	1.14988624716978	0.25125075751642	0	1.05099894419691	0.945662158989806	1.16806913568688	0.355948987632461	1.05733133503728	0.901249007519217	1.24044469699777	0.493917466792327
IFIH1	pLoF	bladder	5067	565851	570918	0.0847473405187299	0.0718780025672178	1.08844202675626	0.945415320169756	1.25310646055171	0.238380584441764	84.504890804028	1.23897059035321	1.04243069646074	1.47256611779755	0.0150363740127982	0.841426519774868	0.659586439533341	1.07339773188993	0.164584215569944
DNMT3A	pLoF	bladder	5067	565851	570918	0.257150163451964	0.191850983509822	1.29323930945834	0.887922464436513	1.88357427423537	0.180127013736482	16.9154239533328	1.74490293241256	0.907239997441547	3.35598766823341	0.0952674345452314	1.11545201495989	0.704474164770879	1.76618712211079	0.641233263281022
MSH6	pLoF	bladder	5067	565851	570918	0.776129680357552	0.225051160476121	2.17304558802612	1.39799282455106	3.37779067582569	0.000563331602376804	0	2.55578937526104	1.472232921822	4.43683824337612	0.00085504413079785	1.62961491313974	0.781688089417689	3.39732023690644	0.192623085393947
MLH1	pLoF	bladder	5067	565851	570918	1.60007661657379	0.407663657015874	4.95341192330712	2.22792471481649	11.0130694806634	8.67325990226937e-05	0	4.94023957102209	2.02007328942184	12.0817235428511	0.000463517457436939	5.00588388038694	0.845043447627145	29.6539467814138	0.0759857560627282
TET2	pLoF	bladder	5067	565851	570918	0.213970665119399	0.181821415169778	1.2385863204787	0.867280556271516	1.76885791129934	0.239268264254353	0	1.00726909411197	0.460990986136532	2.20089125051278	0.985509764977069	1.30763551470743	0.876182710771587	1.95154574303158	0.189203260584226
MICA	pLoF	bladder	5067	565851	570918	-0.00326274132373215	0.0299868366400469	0.996742575632551	0.939849182115651	1.05707998792125	0.913356534677344	80.9043955763047	1.04880395343508	0.974789315722466	1.12843843792624	0.201899444737157	0.908688083237565	0.823335638774082	1.00288872937338	0.0570866399635324
HLA-DPB1	pLoF	bladder	5067	565851	570918	-0.0346019661039216	0.0293966251957531	0.965989836444531	0.911906065329604	1.02328123431974	0.239166475265527	0	0.97659348978813	0.909160309298635	1.04902824567024	0.516457064140082	0.946729178492905	0.859055836298616	1.04335026844319	0.269562044394244
CPVL	pLoF	bladder	5067	565851	570918	-0.0014270588339213	0.306765366507718	0.998573958930342	0.547344908868612	1.82179451255877	0.996288289916377	0	0.990654700136562	0.478772621810813	2.04981799333225	0.979809173172971	1.01590973652819	0.348784657652536	2.95905387501575	0.976914132801693
CDKN2A	pLoF	bladder	5067	565851	570918	1.34287818248301	0.475265738098447	3.83005124302525	1.50889025885482	9.72190816271331	0.00472022873498003	0	1.93502113542484	0.370633267599889	10.1024573934981	0.433707114071904	5.26339334173844	1.70416717346787	16.256215881381	0.00389600302635805
JAK2	pLoF	bladder	5067	565851	570918	1.86829879564412	0.441731772443246	6.47726786474531	2.72514171107787	15.3955292750878	2.34224796821156e-05	76.9320974870163	1.47947089440059	0.287679389402848	7.60858861638287	0.639219639215664	11.4862464976659	4.14194688270421	31.8531025001953	2.7210777780429e-06
