Gene	Group	Cancer	N_case_meta	N_ctrl_meta	N_total_meta	ClinVar_Carrier_log_OR	ClinVar_Carrier_log_OR_SE	ClinVar_Carrier_OR	ClinVar_Carrier_OR_CI_LB	ClinVar_Carrier_OR_CI_UP	ClinVar_Carrier_P	I2	ClinVar_Carrier_UKB_OR	ClinVar_Carrier_UKB_CI_LB	ClinVar_Carrier_UKB_CI_UP	ClinVar_Carrier_UKB_P	ClinVar_Carrier_AoU_OR	ClinVar_Carrier_AoU_CI_LB	ClinVar_Carrier_AoU_CI_UP	ClinVar_Carrier_AoU_P
FLG	pLoF	anus	957	565851	566808	0.0421132638963154	0.129605644428087	1.04301260773262	0.809038210415518	1.34465255890754	0.745231120412134	76.1726260831861	0.674099697780688	0.413470468425381	1.09901537654804	0.113791435380779	1.22583507132494	0.910551186095368	1.65028791905042	0.179509948151608
IFIH1	pLoF	anus	957	565851	566808	0.365257412134398	0.243935297536927	1.44088486166373	0.893287335488302	2.32416726633298	0.134301257597752	76.3097573158764	0.547260508517489	0.193443136991438	1.54822791255746	0.25589523748878	1.86771211391571	1.09017725346829	3.19979941736048	0.022948672823181
ATM	pLoF	anus	957	565851	566808	1.02868374906256	0.572039775078119	2.7973813545505	0.911655038413548	8.58366609414497	0.0721337377797672	3.72088243376998	5.00150286706791	1.02714397892938	24.3539673526221	0.0462477928080329	1.55854780982107	0.318392380180248	7.6291752777592	0.583953321563925
CHEK2	pLoF	anus	957	565851	566808	0.623735675332474	0.407861793268446	1.86588538056547	0.838904210438162	4.15009033223177	0.126194564270957	0	2.40672127655531	0.846208864592817	6.84500901064325	0.0995906075838249	1.30355529618937	0.376947605875005	4.50793793020354	0.675389632070528
FLG	pLoF	bladder	5067	565851	570918	0.0819838560503404	0.0565837881817512	1.08543828642705	0.971495802419783	1.21274458490413	0.147367459207515	0	1.11552331834518	0.978378784034284	1.27189212815989	0.102388603866512	1.01358253910942	0.82354001247636	1.24747984071629	0.898663799795377
IFIH1	pLoF	bladder	5067	565851	570918	0.103119083978444	0.105228756493517	1.10862342050314	0.902013773674684	1.36255778388074	0.327110030615364	80.3621796120252	1.24733725670854	0.990789619899809	1.5703134154055	0.0599442092209339	0.687171854480951	0.432155488723129	1.09267421081702	0.112868377221459
DNMT3A	pLoF	bladder	5067	565851	570918	0.307912317171712	0.420308639697216	1.36058168405656	0.596976530339858	3.10093014533805	0.463810838853531	0	1.72471654956738	0.480520249857458	6.19047205031216	0.403182088985762	1.14947738733745	0.391315741741552	3.37655280137644	0.799968569954526
MSH6	pLoF	bladder	5067	565851	570918	1.17753118583317	0.473472800510585	3.24634966737273	1.2834368890895	8.21137856675405	0.0128822086707897	0	3.13554598854964	1.03472306360896	9.50171982445082	0.0433514974226274	3.52120165741619	0.645830304349315	19.1983266017264	0.145751397737882
MLH1	pLoF	bladder	5067	565851	570918	1.6752039621493	0.447815292956442	5.33988417226242	2.21998872319283	12.8443728904031	0.000183408533624236	0	5.07045758673963	1.87426142679336	13.7171580076272	0.00138787733217503	6.40075259515304	0.994517974048893	41.1954684112569	0.0506802421766804
ATM	pLoF	bladder	5067	565851	570918	0.325814643853442	0.385738343897816	1.38515859741645	0.650366897502643	2.9501260709366	0.398305195353665	0	1.63475512544101	0.63455965901806	4.21146267679712	0.308699086918929	1.03403508645403	0.294175009144662	3.63466823074764	0.958382328224474
