Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,CDKN2A,missense,0.421489266351611,0.644761243961884,0.513296267235102,249549,2937,246612,2,253,1.52422985038015,0.430753382750397,5.39351919178344
colorectal,JAK2,missense,0.713703494021339,0.306529289154147,0.0198942146036651,249549,2937,246612,11,255,2.04153809932632,1.1195391496173,3.7228513289827
NHL,JAK2,missense,0.533132523714568,0.353912055163987,0.131964952889072,249125,2513,246612,8,255,1.70426259863597,0.851698780991366,3.41025614916183
leukemias,CDKN2A,missense,1.70568222638453,0.444056059789231,0.000122463416804595,248505,1893,246612,5,253,5.50514013821911,2.30561705186046,13.1446668114186
leukemias,JAK2,missense,2.51886351450849,0.171296142152853,6.01102257169936e-49,248505,1893,246612,44,255,12.4144797671329,8.87403187760853,17.3674503330821
oral,CDKN2A,missense,2.27924409064094,0.497019929813197,4.52207396550597e-06,247661,1049,246612,4,253,9.76929291779564,3.68806868194673,25.8777946790609
oral,JAK2,missense,0.471665385345511,0.54136989079187,0.38362082280597,247661,1049,246612,3,255,1.6026610201305,0.554659923818096,4.63080571562642
neck,CDKN2A,missense,1.99460879630226,0.660081649000359,0.00251309119764239,247329,717,246612,2,253,7.3493273813982,2.01551054881331,26.7984769371566
neck,JAK2,missense,-0.00137873822608976,0.81937214603416,0.99865741906143,247329,717,246612,1,255,0.998622211796797,0.200424305060545,4.97567558781196
anus,JAK2,missense,0.421006339413536,0.81564018445511,0.605737954139195,247226,614,246612,1,255,1.52349393643622,0.308011226664917,7.53554927036141
bladder,CDKN2A,missense,0.935111269706044,0.850049994220304,0.271303277903175,248394,1782,246612,1,253,2.54749690120073,0.481448455160196,13.4796163370551
bladder,CDKN2A,pLoF,4.18504543698328,1.6139110982396,0.00951129562303714,248394,1782,246612,1,1,65.6964858990541,2.77829605571134,1553.48032496831
bladder,JAK2,missense,0.423935190683843,0.384122944987104,0.269747362497563,248394,1782,246612,7,255,1.52796256436617,0.719691992188815,3.24398440366685
brain,CDKN2A,missense,1.4229527404868,0.643101999401861,0.0269225251557687,247562,950,246612,2,253,4.14935433614533,1.17644359298699,14.6349060078382
brain,JAK2,missense,0.982482898359018,0.538539099267024,0.0680994304386724,247562,950,246612,3,255,2.67108003566062,0.929568907643575,7.67524440440985
breast,CDKN2A,missense,0.578546939936725,0.364694240462117,0.112651088876422,161421,10236,151185,8,175,1.78344509422804,0.872632619754066,3.64492036181556
breast,JAK2,missense,0.117389844130776,0.248047706246799,0.636031185361628,161421,10236,151185,20,136,1.12455774648456,0.691581187776114,1.82860689031325
bone,CDKN2A,missense,1.35967308112144,0.825012062926583,0.0993394390818155,247264,652,246612,1,253,3.89491977083234,0.773120119130103,19.6223066064948
bone,JAK2,missense,0.341091387871994,0.816321790951874,0.676064559330251,247264,652,246612,1,255,1.40648177036505,0.283974758813245,6.96608029050272
prostate,CDKN2A,missense,0.245386327352559,0.602858689113373,0.683980161356464,102418,6991,95427,3,78,1.27811498861841,0.392117009120784,4.16604708832673
prostate,JAK2,missense,0.539776246850479,0.219285714978906,0.0138349554294991,102418,6991,95427,31,119,1.71562294319799,1.11626036996505,2.63680603775217
cervix,JAK2,missense,0.316631393658411,0.639780675790102,0.620666366471518,153188,2003,151185,2,136,1.37249656773434,0.391677810594566,4.80942952980413
endometrium,CDKN2A,missense,1.0108818049106,0.648469049933819,0.11902610912982,152371,1186,151185,2,175,2.74802316725043,0.770978973089169,9.79486028975223
endometrium,JAK2,missense,0.588793157248703,0.549126322404698,0.283613925314296,152371,1186,151185,3,136,1.80181259825397,0.614175440689356,5.28599553831522
esophagus,CDKN2A,missense,2.11065444885653,0.838626421335133,0.0118426243953888,247001,389,246612,1,253,8.25364110346365,1.59516450134143,42.7056842146988
esophagus,JAK2,missense,0.526690986812132,0.815982540553178,0.518623656642542,247001,389,246612,1,255,1.69331981024081,0.342116004603636,8.38116878827687
eye,JAK2,missense,0.952009086330493,0.811085352537442,0.240496335542297,246889,277,246612,1,255,2.59090979525886,0.52851240966445,12.7013357575278
HL,JAK2,missense,0.508812857053551,0.815218187825175,0.532533570545121,247209,597,246612,1,255,1.66331542924022,0.336557781765279,8.22033649805211
kidney,CDKN2A,missense,0.890416012664639,0.550453504053639,0.105747879266928,248569,1957,246612,3,253,2.4361429068138,0.828239404561841,7.16555168678415
