Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,IFIH1,missense,0.077393332668675,0.0801272026982765,0.33410379321767,249549,2937,246612,169,12578,1.08046697578272,0.923436632103732,1.26420031994779
colorectal,IFIH1,pLoF,0.00759760046795862,0.0922508081929416,0.934361961222257,249549,2937,246612,126,9713,1.00762653546683,0.840960438502797,1.20732342270998
colorectal,DNMT3A,pLoF,0.291332067165219,0.189481578998637,0.124165569490476,249549,2937,246612,29,908,1.33820888540804,0.923074803941799,1.94004105987703
colorectal,DNMT3A,missense,0.215066392185446,0.121867991131124,0.0776059915393147,249549,2937,246612,71,3394,1.23994421683972,0.976490281300871,1.57447717638938
colorectal,MSH6,missense,0.0769119784590655,0.11584100699664,0.506725949527357,249549,2937,246612,78,6266,1.07994701360861,0.8605941783967,1.35520966964355
colorectal,MSH6,pLoF,1.13445432232995,0.195255487630333,6.24347471536219e-09,249549,2937,246612,29,1010,3.1094763080888,2.12073048724925,4.55920399536802
NHL,IFIH1,missense,-0.00693691113875961,0.0904063778213576,0.938838076386705,249125,2513,246612,131,12578,0.993087093690785,0.831827529734965,1.18560872344468
NHL,IFIH1,pLoF,-0.100312468158704,0.103391878999521,0.331938774962586,249125,2513,246612,99,9713,0.904554729321931,0.738630984382171,1.10775106330406
NHL,DNMT3A,pLoF,0.335411394245745,0.203243403838505,0.0988827943813935,249125,2513,246612,25,908,1.39851560816643,0.939001354415346,2.08289998421025
NHL,DNMT3A,missense,0.235914665198373,0.13108937031216,0.0719163065403012,249125,2513,246612,61,3394,1.26606626604332,0.979203513233507,1.63696695155815
NHL,MSH6,missense,0.0353825596423516,0.124861359210964,0.776889562438228,249125,2513,246612,67,6266,1.03601597089714,0.811118428753357,1.3232705039184
NHL,MSH6,pLoF,0.328102144384351,0.302308856497777,0.277779516944591,249125,2513,246612,11,1010,1.38833077523941,0.76765694904371,2.51083813398415
leukemias,IFIH1,missense,-0.122740217079244,0.108867964460232,0.259563795698254,248505,1893,246612,89,12578,0.884493408998607,0.714539137895642,1.09487157395742
leukemias,IFIH1,pLoF,0.0555756567907107,0.109882572920176,0.61301589828689,248505,1893,246612,88,9713,1.0571489945472,0.852322563059662,1.31119841842544
leukemias,DNMT3A,pLoF,0.453859280104054,0.22079561410886,0.0398246637595417,248505,1893,246612,21,908,1.57437643579809,1.02133217442302,2.42689031411016
