Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
NHL,POT1,pLoF,1.76778895186326,0.679035146007738,0.00923086112930777,249125,2513,246612,2,38,5.85788696194592,1.54790827796456,22.1685226104344
NHL,POT1,missense,2.3803607305915,0.754630218347919,0.00160861230431296,249125,2513,246612,2,13,10.8088012260194,2.46283390542629,47.4372972071689
leukemias,POT1,pLoF,2.30700873620829,0.584495843471483,7.91344981864774e-05,248505,1893,246612,3,38,10.0443344196729,3.19445959887272,31.5823853179512
leukemias,POT1,missense,2.21192726783378,0.931269762838734,0.0175407027458496,248505,1893,246612,1,13,9.13330176043978,1.47207367908271,56.6664578224317
oral,POT1,pLoF,2.36616397256079,0.685636860005923,0.00055841950247274,247661,1049,246612,2,38,10.6564353998708,2.77969280688419,40.8532968644515
breast,POT1,missense,1.63696683767711,1.07540379409729,0.127961960744483,161421,10236,151185,1,5,5.13955673631377,0.624511292201922,42.2971430230721
bone,POT1,missense,3.50128686353285,0.909082759951551,0.000117420470478531,247264,652,246612,1,13,33.1580944578458,5.58183399349499,196.970964983323
prostate,POT1,pLoF,0.455563154831911,0.770102622270383,0.554144180787432,102418,6991,95427,2,22,1.57706126267397,0.348606936051066,7.13445995768276
prostate,POT1,missense,0.351554758127048,0.983648521373709,0.720793307722589,102418,6991,95427,1,8,1.4212755714232,0.206726024151761,9.7715043774141
esophagus,POT1,pLoF,2.82022656553163,0.876051363133724,0.00128527291363637,247001,389,246612,1,38,16.7806521588582,3.01378705328668,93.4340356162535
kidney,POT1,pLoF,2.24392189057092,0.590918617699676,0.000146254138551496,248569,1957,246612,3,38,9.43024323985498,2.96163855805665,30.0271237760977
kidney,POT1,missense,2.12974991618296,0.936118888695935,0.0229008393640441,248569,1957,246612,1,13,8.41276265254706,1.34311374556845,52.6944018565877
lung,POT1,pLoF,0.97028439253571,0.874392995854468,0.267142873519533,249561,2949,246612,1,38,2.63869477775543,0.47544960410415,14.6444756080364
lung,POT1,missense,2.07994015562246,0.931639801312076,0.0255780876884208,249561,2949,246612,1,13,8.00398990616974,1.28911984974017,49.6958094555597
non_melanoma,POT1,pLoF,-0.529578531043704,0.705920464428468,0.453136819134593,261784,15172,246612,2,38,0.588853100686682,0.147613601899164,2.34902454602514
non_melanoma,POT1,missense,1.39194847712814,0.630537403010022,0.0272750344983052,261784,15172,246612,4,13,4.02268052276359,1.16896398814565,13.8429915312373
melanoma,POT1,pLoF,0.966003311112386,0.69466635282371,0.164346633683114,250194,3582,246612,2,38,2.62742245663909,0.673331350747405,10.2525283547077
melanoma,POT1,missense,2.41782519023676,0.68153729573171,0.000388750605421907,250194,3582,246612,3,13,11.2214282862971,2.95068290411521,42.6750202839116
myeloma,POT1,missense,2.94018086265335,0.772873582253945,0.000142251919961597,247877,1265,246612,2,13,18.9192677918091,4.15942347460297,86.0548813949154
ovary,POT1,missense,3.82434449154815,1.03465172690859,0.00021879665438603,152422,1237,151185,1,5,45.8027664231485,6.02829591877458,348.007702388962
thyroid,POT1,pLoF,2.72654664128376,0.471473622802007,7.3366476434006e-09,249198,2586,246612,5,38,15.2800283833198,6.06464083245125,38.4984492644209
