Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,FLG,pLoF,-0.0216559129596225,0.0646255984923854,0.73755111299283,249549,2937,246612,271,22521,0.978576892754922,0.862155389361286,1.11071942117454
colorectal,FLG,missense,0.0939392835066477,0.101729868846876,0.355788946513983,249549,2937,246612,120,11382,1.09849304724654,0.899921631477564,1.34088006404263
NHL,FLG,pLoF,0.0698591130778045,0.0685984098069222,0.308498341414057,249125,2513,246612,241,22521,1.0723570895212,0.937450521552979,1.22667778299529
NHL,FLG,missense,0.0397647314804812,0.124309572568638,0.749055729578175,249125,2513,246612,78,11382,1.04056593298529,0.815562227660934,1.32764542565316
leukemias,FLG,pLoF,0.147282041375611,0.0760499561717122,0.0527883124645363,248505,1893,246612,197,22521,1.15868071285135,0.998228437326136,1.34492361080181
leukemias,FLG,missense,-0.316216073246947,0.169494850505689,0.0620919968498554,248505,1893,246612,39,11382,0.728901936942818,0.522871325988152,1.01611621688169
oral,FLG,pLoF,-0.0443306713866709,0.107647828927526,0.680477200230627,247661,1049,246612,95,22521,0.956637572493562,0.774671245409423,1.18134686233604
oral,FLG,missense,-0.0815782313317915,0.204601431078117,0.690101154811825,247661,1049,246612,27,11382,0.921660604296933,0.617183021717536,1.37634743604752
neck,FLG,pLoF,-0.0613118843116594,0.129468982388209,0.635810658704685,247329,717,246612,65,22521,0.940529857520519,0.729740398261012,1.21220699168578
neck,FLG,missense,-0.165106391565496,0.224514670400308,0.462100523938581,247329,717,246612,22,11382,0.847803500147918,0.545994127084278,1.31644415060185
anus,FLG,pLoF,0.115481565038915,0.128405059913675,0.368464295387785,247226,614,246612,67,22521,1.12241382270241,0.87267879101939,1.44361568352295
anus,FLG,missense,0.284084182062638,0.179193158626459,0.112886444324896,247226,614,246612,38,11382,1.32854476568416,0.93507554597687,1.88758138529103
bladder,FLG,pLoF,0.0557481251631852,0.0814922202824025,0.493917466792327,248394,1782,246612,173,22521,1.05733133503728,0.901249007519217,1.24044469699777
bladder,FLG,missense,-0.128907065870739,0.1894499192256,0.496233375758811,248394,1782,246612,32,11382,0.879055656021573,0.606395973655043,1.27431394658814
brain,FLG,pLoF,0.0384362563230673,0.110622764390922,0.728250716818369,247562,950,246612,90,22521,1.03918448480663,0.836624129749762,1.29078800749606
brain,FLG,missense,0.263509373833421,0.175751214514783,0.133787592806626,247562,950,246612,39,11382,1.30148949483019,0.922233644641315,1.83670907583527
