Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,MLH1,missense,1.44812564072761,0.266927230836402,5.78993637906445e-08,328039,8800,319239,17,208,4.25513139090675,2.52176204603121,7.17995703931534
colorectal,MLH1,pLoF,2.02563962583988,0.282381365048159,7.3147961800414e-13,328039,8800,319239,16,93,7.58095837106718,4.35873693001355,13.1852256161913
colorectal,MITF,missense,0.173136500700606,0.110866352046515,0.118366079790562,328039,8800,319239,86,2567,1.18902839721655,0.956803195122079,1.47761685641838
NHL,MLH1,missense,0.696391860314864,0.647847602197724,0.282405352492105,321794,2555,319239,2,208,2.0064998988524,0.563625019601516,7.14312123145474
NHL,MLH1,pLoF,0.802661954031134,0.832616384238791,0.335034027849935,321794,2555,319239,1,93,2.23147310823045,0.436382480204536,11.4107977717661
NHL,MITF,missense,0.171452648313631,0.204247736522443,0.401225388600328,321794,2555,319239,24,2567,1.18702793362708,0.795435465301865,1.77140117165412
leukemias,MLH1,pLoF,1.63424707593721,0.65130788026209,0.0121012660845257,321103,1864,319239,2,93,5.12559735823845,1.43004668097345,18.3712522313589
leukemias,MITF,missense,0.0815837338489537,0.248145833104303,0.742327017010857,321103,1864,319239,16,2567,1.08500406534695,0.66712812373931,1.76462928173514
oral,MITF,missense,0.407746524301374,0.274086657690761,0.136841768331244,320349,1110,319239,13,2567,1.50342603090501,0.878575482152449,2.57267574194676
neck,MLH1,missense,1.13520022300956,0.8536374332956,0.183571372447026,319892,653,319239,1,208,3.11179653380164,0.583974242692579,16.5816862454967
neck,MITF,missense,0.698886383838997,0.311442968176622,0.0248306736338077,319892,653,319239,10,2567,2.01151140811639,1.09250080297354,3.70359283395453
anus,MITF,missense,0.638821554993096,0.426179010385323,0.133886282692433,319582,343,319239,5,2567,1.89424729721736,0.821622729088609,4.36717814147557
bladder,MLH1,missense,0.734732871722616,0.65299570563924,0.260515904268602,322524,3285,319239,2,208,2.08492497569364,0.579774993246347,7.49758476116977
bladder,MLH1,pLoF,1.62343106732526,0.507772795349541,0.00138787733217503,322524,3285,319239,4,93,5.07045758673963,1.87426142679336,13.7171580076272
bladder,MITF,missense,0.035379769365723,0.193944823616106,0.855251696488536,322524,3285,319239,27,2567,1.03601308013003,0.708400901909698,1.51513514354239
brain,MITF,missense,0.0805369660576814,0.344118336185054,0.814955029308191,320187,948,319239,8,2567,1.08386891226244,0.552157151053666,2.12760410098318
breast,MLH1,missense,0.0744575240928064,0.303592927641567,0.806259399054559,191078,19950,171128,12,130,1.07729958327329,0.594179581207308,1.9532384296388
breast,MLH1,pLoF,-0.166844246139764,0.501152614740278,0.739193892276468,191078,19950,171128,4,49,0.846331420457808,0.316926522628164,2.26007235782695
breast,MITF,missense,0.0547029486984421,0.0801420684481533,0.494875622565241,191078,19950,171128,179,1414,1.05622681452044,0.902693128286989,1.2358741290399
bone,MITF,missense,0.884653845782452,0.623584445140621,0.155998380836822,319367,128,319239,2,2567,2.42214581036695,0.713516863095864,8.22235693382619
prostate,MLH1,missense,-0.716775555537407,0.667724942867818,0.28306508647446,162843,14732,148111,2,78,0.4883242946901,0.131928866059802,1.80749387079922
prostate,MLH1,pLoF,0.247244712309114,0.478781137417877,0.605571954956877,162843,14732,148111,5,44,1.28049242669936,0.501000052299505,3.27277581570831
prostate,MITF,missense,0.0981999803084439,0.0965342050558312,0.309031755721814,162843,14732,148111,128,1153,1.10318337800286,0.913014437848767,1.33296201576977
cervix,MLH1,missense,-0.0838254537848507,0.548428276200012,0.878519166839067,177390,6262,171128,3,130,0.919591753347652,0.313886091993638,2.69412699190937
cervix,MLH1,pLoF,0.55971250199311,0.560843684529091,0.318287568299626,177390,6262,171128,3,49,1.75016925778563,0.583027501919404,5.25377005512395
cervix,MITF,missense,0.212942912693487,0.126437582511961,0.0921480103726918,177390,6262,171128,66,1414,1.237314014303,0.965730764492657,1.58527203054867
endometrium,MLH1,missense,1.10390788149667,0.497251406828031,0.0264174354986658,173443,2315,171128,4,130,3.01592891779216,1.13804631429652,7.99249303205863
