Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,PLEKHA4,missense,-0.0394836507655608,0.0369453674996516,0.285203205972225,328039,8800,319239,845,32402,0.961285670146909,0.894137922071131,1.03347606316632
colorectal,PLEKHA4,pLoF,0.113745217014737,0.316685805443102,0.719465139360552,328039,8800,319239,10,362,1.1204666126854,0.602331358279077,2.08431026026877
NHL,PLEKHA4,missense,0.0133531511210986,0.0659023855401773,0.839431940710605,321794,2555,319239,258,32402,1.01344270259772,0.890641623218497,1.1531755137797
NHL,PLEKHA4,pLoF,0.86797029102573,0.397804351156332,0.0291167325104871,321794,2555,319239,6,362,2.38207103251972,1.09230275805949,5.19477073741905
leukemias,PLEKHA4,missense,0.0913653406210286,0.0747785575935914,0.221778721409776,321103,1864,319239,201,32402,1.09566922462078,0.94629782009607,1.26861863600112
leukemias,PLEKHA4,pLoF,0.837939878237594,0.47600163211387,0.0783447774176228,321103,1864,319239,4,362,2.31159989083725,0.909367317027179,5.87605685322765
oral,PLEKHA4,missense,0.0809234420270628,0.0970130145842433,0.404196253992363,320349,1110,319239,118,32402,1.08428788250674,0.896534438227237,1.31136090485903
neck,PLEKHA4,missense,-0.148612594264546,0.138394176329199,0.282896368249361,319892,653,319239,56,32402,0.861902956377437,0.657138684312371,1.1304717313812
anus,PLEKHA4,missense,-0.363078488542712,0.206200213014177,0.0782713127338363,319582,343,319239,24,32402,0.695531840076106,0.464300419867272,1.0419213936915
bladder,PLEKHA4,missense,-0.0400038589507009,0.0597378912864777,0.503076875810493,322524,3285,319239,317,32402,0.960785731520397,0.854628870061515,1.08012876024975
bladder,PLEKHA4,pLoF,1.22947917973175,0.307671652828324,6.44011797269871e-05,322524,3285,319239,11,362,3.41944815453495,1.87096402818616,6.24951923468465
brain,PLEKHA4,missense,0.174485568119308,0.100874801517104,0.0836795933996743,320187,948,319239,110,32402,1.19063355917955,0.977042224055745,1.45091812548285
brain,PLEKHA4,pLoF,1.86851941361272,0.395833626598757,2.353042452611e-06,320187,948,319239,6,362,6.478697024067,2.98231475259542,14.0741399254141
breast,PLEKHA4,missense,0.0117090356954809,0.0250627530892705,0.640364858689082,191078,19950,171128,2006,17263,1.0117778547934,0.963278163686892,1.06271943664975
breast,PLEKHA4,pLoF,0.236209282634169,0.206539593823251,0.252768262218846,191078,19950,171128,27,190,1.26643932619249,0.844846028821093,1.89841522858897
bone,PLEKHA4,missense,-0.361781528605277,0.322616615963691,0.262118618057948,319367,128,319239,9,32402,0.696434502239696,0.370056909131264,1.31066601904144
bone,PLEKHA4,pLoF,2.47012304970251,0.765839718968893,0.00125806173426675,319367,128,319239,1,362,11.8239016897212,2.63558398228368,53.0450374975544
prostate,PLEKHA4,missense,-0.0142710255930006,0.0297808126099771,0.631794916559392,162843,14732,148111,1470,15139,0.985830322804734,0.929935225055135,1.04508507601018
prostate,PLEKHA4,pLoF,0.180658241920756,0.256965946880327,0.482028633038472,162843,14732,148111,18,172,1.19800568120201,0.72398416439522,1.9823881277724
cervix,PLEKHA4,missense,-0.0254757090743734,0.0435972144189179,0.55898984514432,177390,6262,171128,605,17263,0.974846058591246,0.895006159004467,1.06180815449131
cervix,PLEKHA4,pLoF,0.699493146243977,0.283734400665229,0.0136894903327563,177390,6262,171128,13,190,2.01273228797057,1.15417284946141,3.50995196683899
endometrium,PLEKHA4,missense,-0.011529058240931,0.0700788732594982,0.869325375328201,173443,2315,171128,229,17263,0.98853714667998,0.861671539233991,1.13408142879468
endometrium,PLEKHA4,pLoF,0.538717739671876,0.479903735362553,0.261627065739429,173443,2315,171128,4,190,1.7138079047819,0.66906350527597,4.38992339491218
esophagus,PLEKHA4,missense,0.238481074520352,0.0854251388087614,0.00524324849556391,320519,1280,319239,156,32402,1.26931968332525,1.07363585008394,1.50066939209505
esophagus,PLEKHA4,pLoF,0.13861991273632,0.818498191923986,0.865514388621743,320519,1280,319239,1,362,1.14868741556316,0.230937754722764,5.71358624429852
eye,PLEKHA4,missense,0.11495788138745,0.137443396855624,0.402928995001262,319770,531,319239,58,32402,1.12182618681437,0.856906706935114,1.46864761733946
eye,PLEKHA4,pLoF,1.79636778398518,0.537330929730606,0.000828387307388994,319770,531,319239,3,362,6.02771369621508,2.10269217952973,17.2794347918604
HL,PLEKHA4,missense,0.0578454296877042,0.14065559599237,0.680884975903661,319762,523,319239,55,32402,1.05955120789115,0.804258557411613,1.39588040661535
HL,PLEKHA4,pLoF,1.50341963360609,0.629578470761415,0.0169413488464773,319762,523,319239,2,362,4.49704103898862,1.30926839678651,15.446319605655
kidney,PLEKHA4,missense,0.0745858155811049,0.071335026081362,0.295759267125736,321315,2076,319239,221,32402,1.07743780050603,0.936853586796137,1.23911807599439
