Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,FLG,pLoF,-0.0576291349374452,0.0344015641027533,0.093897080017475,328039,8800,319239,994,37372,0.943999979136837,0.882448400483941,1.00984483639116
colorectal,FLG,missense,0.00210306489390499,0.204673452609141,0.991801704319803,328039,8800,319239,28,1721,1.00210527788596,0.670957467462573,1.49668948728545
NHL,FLG,pLoF,0.0600996587914664,0.0603279248387086,0.319145087656941,321794,2555,319239,317,37372,1.06194237316551,0.943516995436581,1.19523189235461
NHL,FLG,missense,-0.191018751592081,0.415377700715754,0.645611248435601,321794,2555,319239,6,1721,0.826117096995138,0.365991897071037,1.86471193326778
leukemias,FLG,pLoF,-0.0730145270203072,0.0740264849379239,0.323971308019315,321103,1864,319239,206,37372,0.929587325793746,0.804042000772576,1.07473564247397
leukemias,FLG,missense,-0.198875695170598,0.495749859385205,0.688301316273833,321103,1864,319239,4,1721,0.819651773674581,0.310203245742971,2.16577047244874
oral,FLG,pLoF,-0.156111603451767,0.0986044001266719,0.113373304959199,320349,1110,319239,114,37372,0.855463712340121,0.705130295864568,1.03784813590154
oral,FLG,missense,0.182762140152864,0.567827479505217,0.74755717281736,320349,1110,319239,3,1721,1.20052881651602,0.394490875157481,3.65349246344415
neck,FLG,pLoF,0.0129124435269274,0.119327283300896,0.913828858743964,319892,653,319239,79,37372,1.01299616910501,0.80174495403632,1.27990981852184
anus,FLG,pLoF,-0.40542397565268,0.193390993667842,0.0360471364865037,319582,343,319239,28,37372,0.666694088867624,0.456364540383779,0.973960439076283
anus,FLG,missense,0.236645655336421,0.843425788176483,0.779035060946628,319582,343,319239,1,1721,1.26699208633944,0.242576412991114,6.61758052670018
bladder,FLG,pLoF,0.0497410873242886,0.0538841466862593,0.355948987632461,322524,3285,319239,403,37372,1.05099894419691,0.945662158989806,1.16806913568688
bladder,FLG,missense,0.204032386387886,0.388062694699387,0.59904683303113,322524,3285,319239,7,1721,1.226337869467,0.573179401890243,2.62379381591391
brain,FLG,pLoF,0.247214838372831,0.0915693382182156,0.00693904196269695,320187,948,319239,139,37372,1.28045417392158,1.07008943958421,1.532173695827
breast,FLG,pLoF,0.0203497184556419,0.0232099123509212,0.380612428825889,191078,19950,171128,2398,20032,1.02055818565795,0.975172526056525,1.06805614645984
breast,FLG,missense,-0.0498000737877405,0.138096039937054,0.718384186591901,191078,19950,171128,65,1005,0.951419619208365,0.725812662222153,1.24715279703612
bone,FLG,pLoF,-0.518368511825301,0.327212439088636,0.11314921041528,319367,128,319239,9,37372,0.595491292877918,0.313582402131499,1.13083475821042
bone,FLG,missense,0.0405444946250907,0.860738406897882,0.962430086826987,319367,128,319239,1,1721,1.04137764437955,0.192728699128164,5.6269118357528
prostate,FLG,pLoF,0.0250468438836658,0.0274568908146445,0.361650637639836,162843,14732,148111,1776,17340,1.02536315139162,0.971642176724416,1.08205429675369
prostate,FLG,missense,0.1926453858617,0.128515355958472,0.13387188135799,162843,14732,148111,94,716,1.21245276438415,0.9424804681931,1.55975827136353
cervix,FLG,pLoF,-0.0312063817317741,0.040164840540593,0.437183732973819,177390,6262,171128,730,20032,0.969275511673561,0.895898617396649,1.04866220271673
cervix,FLG,missense,0.190142456502135,0.211540917305895,0.368735326066356,177390,6262,171128,27,1005,1.20942187539589,0.798939446517648,1.83080367237044
