Cancer,Gene,Group,log_OR,log_OR_SE,P,N,N_cases,N_controls,N_carrier_cases,N_carrier_controls,OR,CI_lower,CI_upper
colorectal,OCA2,pLoF,0.282748476000435,0.353561430886007,0.423875782332838,328039,8800,319239,8,258,1.3267714049947,0.663504797355423,2.65306651606416
colorectal,OCA2,missense,0.0117925335090777,0.0244516508808703,0.629607304994729,328039,8800,319239,2419,87269,1.01186233955922,0.964513141456403,1.06153597106229
colorectal,IDH2,missense,0.0664976347000087,0.0693596076600433,0.337691162847778,328039,8800,319239,223,7412,1.06875843613786,0.932911723566487,1.22438658016762
NHL,OCA2,pLoF,0.644879844043297,0.541151361302512,0.233386315562402,321794,2555,319239,3,258,1.90575802733521,0.659840371687415,5.50423074214852
NHL,OCA2,missense,-0.00701525503301228,0.0447802979308217,0.875513278488502,321794,2555,319239,693,87269,0.993009294428122,0.909570265981647,1.08410256546418
NHL,IDH2,missense,0.162426158554266,0.121487783649684,0.181230719482411,321794,2555,319239,70,7412,1.17636145101127,0.92710771573702,1.49262727505752
NHL,IDH2,pLoF,1.36640466526842,0.843502463779479,0.105249933134619,321794,2555,319239,1,55,3.92122719700026,0.750639488356582,20.4838980216164
leukemias,OCA2,pLoF,0.125563809298849,0.820661436067768,0.878395767660584,321103,1864,319239,1,258,1.13378751283863,0.22697780334682,5.66343539022019
leukemias,OCA2,missense,-0.0432984420161537,0.0527296107697485,0.411565994189864,321103,1864,319239,492,87269,0.957625551715691,0.863599136657619,1.06188931689768
leukemias,IDH2,missense,0.406928219979504,0.126433922552535,0.00128860695448585,321103,1864,319239,65,7412,1.50219627411258,1.17248131520543,1.92463079512899
leukemias,IDH2,pLoF,1.65428710647142,0.846107245608297,0.0505625057939003,321103,1864,319239,1,55,5.22935062282165,0.995955578811253,27.4571562408885
oral,OCA2,pLoF,1.12904481227271,0.636158198559308,0.075933190488493,320349,1110,319239,2,258,3.09270097879146,0.88887172486169,10.7606070445158
oral,OCA2,missense,-0.0210969059022946,0.0674077408768778,0.754300014184657,320349,1110,319239,302,87269,0.979124077069808,0.857946401722626,1.11741707450828
oral,IDH2,missense,0.299096615774408,0.170602557618267,0.0795714932788738,320349,1110,319239,35,7412,1.34863991706859,0.965336771197297,1.8841400018927
neck,OCA2,missense,-0.137790610505754,0.0901097121828189,0.126229066524864,319892,653,319239,163,87269,0.871281109757843,0.730225125679066,1.03958456854646
neck,IDH2,missense,0.0323878403691444,0.248663490516892,0.896370480198304,319892,653,319239,16,7412,1.03291803494128,0.634458344230389,1.68162287817518
anus,OCA2,missense,0.00222769619418108,0.119304108638091,0.985102431608341,319582,343,319239,94,87269,1.00223017935291,0.793260144601749,1.2662495894207
anus,IDH2,missense,-0.251445890080347,0.391614609150548,0.520824586925638,319582,343,319239,6,7412,0.777675536432109,0.360957007754114,1.67548829077436
bladder,OCA2,pLoF,0.44361946463261,0.546799887219073,0.417192658134342,322524,3285,319239,3,258,1.55833737029467,0.533610759252494,4.55091153532725
bladder,OCA2,missense,-0.0581001247037928,0.0402520978840429,0.148906099192323,322524,3285,319239,857,87269,0.943555469495194,0.871976515799246,1.02101020828326
bladder,IDH2,missense,-0.0042677130524437,0.117085829064857,0.970923991899099,322524,3285,319239,76,7412,0.995741380693806,0.791558318713984,1.25259361664831
brain,OCA2,missense,0.0771343157785496,0.0716780566236855,0.281872809256016,320187,948,319239,272,87269,1.08018715282777,0.938612935814385,1.24311549586921
brain,IDH2,missense,-0.315145921891315,0.247687481274321,0.203247708095761,320187,948,319239,16,7412,0.729682389865654,0.449057442730776,1.18567546023119
brain,IDH2,pLoF,2.26072949967893,0.836402154942388,0.00687329441543991,320187,948,319239,1,55,9.59008257777008,1.86155358417813,49.4048007159856
breast,OCA2,pLoF,0.293785046418248,0.250727469435923,0.241305236328067,191078,19950,171128,18,138,1.34149551340731,0.820671998797271,2.19284953687874
breast,OCA2,missense,0.0186331480300022,0.0169079920833945,0.270447767741068,191078,19950,171128,5503,46747,1.01880782839436,0.985598796286018,1.05313581460221
breast,IDH2,missense,-0.0241355419915131,0.049934530241108,0.628851696472802,191078,19950,171128,464,3990,0.976153391016098,0.885143568489687,1.07652077777406
breast,IDH2,pLoF,-0.741313191421964,0.853882484750462,0.385302534643175,191078,19950,171128,1,30,0.476487784824581,0.0893769814125819,2.54025819062932
bone,OCA2,missense,0.0194915316796295,0.188589266808787,0.917681696898647,319367,128,319239,36,87269,1.01968273182405,0.704591808324751,1.47568118348166
bone,IDH2,missense,0.152853796929542,0.52595061454698,0.771339010945134,319367,128,319239,3,7412,1.16515461730674,0.415617270420591,3.2664313512703
