Cancer,Gene,Group,N_cases,Count_min,Count_Q1,Count_median,Count_Q3,Count_max,EnrlAge_coef,EnrlAge_se,EnrlAge_p,PrevalentCase_coef,PrevalentCase_se,PrevalentCase_p
colorectal,DNMT3A,pLoF,2937,0,0,0,0,2,0.000535825707664217,0.000149893238460961,0.000356261825533489,0.00283238173559829,0.00539027831025738,0.599302374274249
colorectal,DNMT3A,missense,2937,0,0,0,0,2,0.000968976321262891,0.000226075861520541,1.87721048045884e-05,-0.0081836404271828,0.00812986513160371,0.314203053643272
NHL,DNMT3A,pLoF,2513,0,0,0,0,1,0.000501072629736584,0.000139819339551174,0.00034519283551978,0.00382616834517664,0.00555658676573983,0.491149681012276
NHL,DNMT3A,missense,2513,0,0,0,0,2,0.000365313472685135,0.000222619399137723,0.100927330470606,-0.000314258466505695,0.00884715956330835,0.971667260003149
leukemias,DNMT3A,pLoF,1893,0,0,0,0,1,0.000358017646057176,0.000163066559887697,0.0282467249248829,-0.00458117815670104,0.00681402488439455,0.501464707061484
leukemias,DNMT3A,missense,1893,0,0,0,0,2,0.000442979773464811,0.000262068034664208,0.0911309685298409,-0.0157760191735123,0.0109509767719152,0.149862269419424
oral,DNMT3A,pLoF,1049,0,0,0,0,1,0.000296683254251721,0.000190100817376958,0.118905841456196,0.00501321491089437,0.00750658913167342,0.504381825626372
oral,DNMT3A,missense,1049,0,0,0,0,1,0.000248704410022759,0.000289582964784047,0.390627511101014,-0.00572596084259745,0.0114348815863071,0.616655879167265
neck,DNMT3A,pLoF,717,0,0,0,0,1,0.000587043520088162,0.000427527043166107,0.170147852546296,-0.0099298526448052,0.0131211061977652,0.449428492847488
neck,DNMT3A,missense,717,0,0,0,0,1,0.00136245048023856,0.000568894338268857,0.0168812203186773,-0.0109080310585601,0.0174597680943258,0.532333202991992
anus,DNMT3A,pLoF,614,0,0,0,0,1,-5.20740202304568e-05,0.000192194341276556,0.786525142586285,0.00385341016128823,0.00674742873453884,0.568146508245544
anus,DNMT3A,missense,614,0,0,0,0,2,0.00156735962442356,0.000637599160907733,0.0142391505628973,-0.0466571026335163,0.0223843994097419,0.03754238199856
bladder,DNMT3A,pLoF,1782,0,0,0,0,1,0.000602734591315524,0.000226511910089369,0.00786234983156746,-0.00324499980478377,0.00697890098996126,0.642007771763482
bladder,DNMT3A,missense,1782,0,0,0,0,2,0.00131702783947605,0.000341874957505601,0.000121129378487655,-0.00880939887392864,0.0105332716431443,0.403075845143807
brain,DNMT3A,pLoF,950,0,0,0,0,1,0.000578526472817002,0.000174958735555567,0.000979706466441824,0.00814658291502416,0.00916414312020699,0.374248785097939
brain,DNMT3A,missense,950,0,0,0,0,1,0.000559439329742318,0.000272116710884149,0.0400677459090691,-0.0149050415730592,0.0142531693317498,0.295950126909246
breast,DNMT3A,pLoF,10236,0,0,0,0,1,0.00048612176741123,8.19014884867404e-05,3.02564132937524e-09,0.00402442526374559,0.00294790083896975,0.17222542861558
breast,DNMT3A,missense,10236,0,0,0,0,2,0.000732122924201185,0.000127638274322111,9.97358292893419e-09,0.0108029084687197,0.00459411645515721,0.0187184571882504
bone,DNMT3A,pLoF,652,0,0,0,0,1,0.000524808102973813,0.00027780401238017,0.0593198666402343,0.0120558560641611,0.0162001940709145,0.457037100212056
bone,DNMT3A,missense,652,0,0,0,0,1,0.000450161634685033,0.000278005769801198,0.105878676082555,0.0122312584009857,0.0162119595934781,0.450847333599104
prostate,DNMT3A,pLoF,6991,0,0,0,0,1,0.000332780191575046,0.000146072456423219,0.0227455640790961,-0.00332063265681582,0.00338235286921931,0.326255888310602
